iter,best_fitness,mean_fitness,std_fitness,time,XPL,XPT,DIV,GAP,RDP,ENT,Divj_mean,Divj_min,Divj_max
0,2.287300e+04,24954.000000,919.666896,0.002,100.000000,0.000000,0.452000,98.124426,5231.701632,0.584702,0.382100,0.000000,0.500000
1,4.630000e+02,3724.700000,3456.660905,0.050,30.530000,69.470000,0.138000,7.343413,7.925408,0.196128,0.093600,0.000000,0.500000
2,4.520000e+02,459.400000,4.152108,0.057,0.440000,99.560000,0.002000,5.088496,5.361305,0.003597,0.001400,0.000000,0.200000
3,4.410000e+02,453.000000,7.362065,0.050,0.880000,99.120000,0.004000,2.721088,2.797203,0.005559,0.002500,0.000000,0.400000
4,4.410000e+02,460.700000,5.216321,0.059,0.440000,99.560000,0.002000,2.721088,2.797203,0.002527,0.000900,0.000000,0.200000
5,4.380000e+02,460.500000,7.500000,0.065,0.440000,99.560000,0.002000,2.054795,2.097902,0.002663,0.000900,0.000000,0.100000
6,4.380000e+02,460.800000,6.600000,0.063,0.220000,99.780000,0.001000,2.054795,2.097902,0.002071,0.000700,0.000000,0.100000
7,4.380000e+02,460.600000,7.200000,0.064,0.440000,99.560000,0.002000,2.054795,2.097902,0.002663,0.000900,0.000000,0.100000
8,4.380000e+02,460.900000,6.300000,0.062,0.220000,99.780000,0.001000,2.054795,2.097902,0.002071,0.000700,0.000000,0.100000
9,4.360000e+02,460.300000,8.100000,0.062,0.440000,99.560000,0.002000,1.605505,1.631702,0.002959,0.001000,0.000000,0.100000
10,4.360000e+02,461.500000,4.500000,0.061,0.220000,99.780000,0.001000,1.605505,1.631702,0.002071,0.000700,0.000000,0.100000
11,4.360000e+02,461.400000,4.800000,0.064,0.220000,99.780000,0.001000,1.605505,1.631702,0.002071,0.000700,0.000000,0.100000
12,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
13,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
14,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
15,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
16,4.360000e+02,463.000000,0.000000,0.065,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
17,4.360000e+02,463.000000,0.000000,0.065,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
18,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
19,4.360000e+02,463.000000,0.000000,0.063,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
20,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
21,4.360000e+02,463.000000,0.000000,0.063,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
22,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
23,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
24,4.360000e+02,463.000000,0.000000,0.063,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
25,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
26,4.360000e+02,463.000000,0.000000,0.063,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
27,4.360000e+02,463.000000,0.000000,0.064,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
28,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
29,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
30,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
31,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
32,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
33,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
34,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
35,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
36,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
37,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
38,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
39,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
40,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
41,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
42,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
43,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
44,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
45,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
46,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
47,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
48,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
49,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
50,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
51,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
52,4.360000e+02,463.000000,0.000000,0.061,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
53,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
54,4.360000e+02,463.000000,0.000000,0.062,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
55,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
56,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
57,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
58,4.360000e+02,463.000000,0.000000,0.060,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
59,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
60,4.360000e+02,463.000000,0.000000,0.059,0.000000,100.000000,0.000000,1.605505,1.631702,0.000000,0.000000,0.000000,0.000000
